"날짜","Product ID","바코드","SKU ID","SKU 명","벤더아이템 ID","벤더아이템명","로켓프레시","상품카테고리","하위카테고리","세부카테고리","브랜드","매출액(GMV)","판매수량(Units Sold)","반품수량(Return Units)","매입원가(COGS)","AMV","쿠폰 할인가(쿠팡 추가 할인가 제외)","쿠팡 추가 할인가","즉시 할인가","프로모션발생매출액(GMV)","프로모션발생판매수량(Units Sold)","평균판매금액(ASP)","주문건수","주문 고객 수","객단가","구매전환율","PV","정기배송 매출액(SnS GMV)","정기배송 매입원가(SnS COGS)","정기배송 비중(SnS %)","정기배송 판매수량(SnS Units Sold)","정기배송 반품수량(Return Units)","상품평 수","평균 상품 평점"
"20260501","39488821","8809487302049","3636926","오아 무드 1000 미니 초음파 탁상용 가습기","3318224889","오아 무드 1000 미니 초음파 탁상용 가습기,OA-HM200,WHITE","NO","CE","Seasonal Appliance","가습기","오아","318400.00","8","-1","193936.00","318100.00","0.00","300","0.00","39800","1","39800.00","9","9","39800.00","4.79","188","0.00","0.00","0","0","0","1","5.0"
"20260501","39488823","8809487302032","3636927","오아 무드 500 미니 초음파 탁상용 가습기","3318224890","오아 무드 500 미니 초음파 탁상용 가습기,OA-HM210,혼합색상","NO","CE","Seasonal Appliance","가습기","오아","98400.00","3","-1","59943.00","71400.00","27000.00","0","0.00","32800","1","32800.00","4","4","32800.00","3.36","119","0.00","0.00","0","0","0","0","0.0"
"20260501","47711246","8809487303572","4125377","오아 슬리머 마사지기 OA-MA900 (브라운)","3401545052","오아 슬리머 목 종아리 쿠션형 마사지기,OA-MA900,브라운","NO","CE","Health Appliance","마사지기","오아","656000.00","20","0","399600.00","655000.00","1000.00","0","0.00","32800","1","32800.00","20","20","32800.00","5.21","384","0.00","0.00","0","0","0","0","0.0"
"20260501","9544611280","8809487303275","4152606","오아 아이브릭 블루투스 스피커 OA-IBRICK 딥우드","3411703203","오아 아이브릭 블루투스 스피커,OA-SP600,딥우드","NO","CE","Digital","미니스피커","오아","198400.00","8","-1","120848.00","197400.00","1000.00","0","0.00","24800","1","24800.00","9","9","24800.00","2.03","443","0.00","0.00","0","0","0","1","5.0"
"20260501","9544611280","8809487303282","4152608","오아 아이브릭 블루투스 스피커 OA-IBRICK 골든우드","3411703195","오아 아이브릭 블루투스 스피커,OA-SP600,골든우드","NO","CE","Digital","미니스피커","오아","223200.00","9","0","136008.00","210200.00","13000.00","0","0.00","24800","1","24800.00","9","9","24800.00","7.76","116","0.00","0.00","0","0","0","0","0.0"
"20260501","4382661","8809487300045","5332788","오아접이식블루투스키보드-블랙","3504887025","오아 접이식 블루투스 무선 접이식 키보드,오닉스 블랙,OA-BTKBDA,적축","NO","CE","Computer","키보드","오아","189000.00","5","0","115140.00","186000.00","3000.00","0","0.00","37800","1","37800.00","5","5","37800.00","1.02","489","0.00","0.00","0","0","0","0","0.0"
"20260501","4382661","8809487300113","5332789","오아접이식블루투스키보드-화이트","3504887026","오아 접이식 블루투스 무선 접이식 키보드,퓨어화이트,OA-BTKBDA,적축","NO","CE","Computer","키보드","오아","189000.00","5","0","115160.00","176000.00","13000.00","0","0.00","37800","1","37800.00","5","5","37800.00","1.67","299","0.00","0.00","0","0","0","0","0.0"
"20260501","4704568656","8809487303633","5462299","오아 플라이트 데스크 램프 무선 LED 침대 독서등 USB 스탠드 조명, 화이트","3522500066","오아 플라이트 데스크 램프 무선 LED 스탠드,화이트","NO","Home","Home Deco","학생스탠드","오아","29800.00","1","0","19382.00","29800.00","0.00","0","0.00","0","0","29800.00","1","1","29800.00","1.96","51","0.00","0.00","0","0","0","0","0.0"
"20260501","7300196049","8809487305095","8122806","오아 아이프로 안마기 무선 눈 마사지기 기계 온열 찜질기","3729416382","오아 아이프로,OA-MA011,화이트","NO","CE","Health Appliance","마사지기","오아","191440.00","3","0","125259.00","191440.00","0.00","0","0.00","0","0","63813.33","3","3","63813.33","2.94","102","0.00","0.00","0","0","0","0","0.0"
"20260501","115126243","8809487305767","8668649","보아르 모아 600 미니 제습기 소형 원룸 화장실 드레스룸 옷방 욕실 300ml VO-DH001","3843811903","보아르 모아 M600 미니 제습기 300ml,VO-DH001","NO","CE","Seasonal Appliance","제습기","보아르","105800.00","2","0","66920.00","105800.00","0.00","0","0.00","0","0","52900.00","2","2","52900.00","0.78","257","0.00","0.00","0","0","0","0","0.0"
"20260501","153446388","8809487305927","9567647","오아 안개 1000 미니 초음파 탁상용 가습기","4096979338","오아 안개 1000 미니 초음파 탁상용 가습기,OA-HM034,화이트","NO","CE","Seasonal Appliance","가습기","오아","134400.00","3","0","80220.00","99400.00","35000.00","0","0.00","44800","1","44800.00","2","2","67200.00","8.70","23","0.00","0.00","0","0","0","0","0.0"
